# File: iso_GCAM_regID.csv
# Title: ISO to GCAM region mapping
# Units: NA
# Description: Maps iso codes to GCAM regions (including composites as necessary)
# Column types: cccic
# ----------
iso,country_name,region_GCAM3,GCAM_region_ID,ssp_country_name
abw,Aruba,Latin America,9,Aruba
afg,Afghanistan,Southeast Asia,27,Afghanistan
ago,Angola,Africa,4,Angola
aia,Anguilla,Latin America,9,
alb,Albania,Eastern Europe,15,Albania
and,Andorra,Western Europe,13,
ant,Netherlands Antilles,Latin America,9,
are,United Arab Emirates,Middle East,21,United Arab Emirates
arg,Argentina,Latin America,31,Argentina
arm,Armenia,Former Soviet Union,10,Armenia
asm,American Samoa,Southeast Asia,29,
atg,Antigua & Barbuda,Latin America,9,Antigua and Barbuda
aus,Australia,Australia_NZ,6,Australia
aut,Austria,Western Europe,13,Austria
aze,Azerbaijan,Former Soviet Union,10,Azerbaijan
bdi,Burundi,Africa,2,Burundi
bel,Belgium,Western Europe,13,Belgium
ben,Benin,Africa,5,Benin
bfa,Burkina Faso,Africa,5,Burkina Faso
bgd,Bangladesh,Southeast Asia,27,Bangladesh
bgr,Bulgaria,Eastern Europe,12,Bulgaria
bhr,Bahrain,Middle East,21,Bahrain
bhs,Bahamas,Latin America,9,Bahamas
bih,Bosnia and Herzegovina,Eastern Europe,15,Bosnia and Herzegovina
blr,Belarus,Former Soviet Union,14,Belarus
blz,Belize,Latin America,9,Belize
bmu,Bermuda,Western Europe,9,
bol,Bolivia,Latin America,26,Bolivia
bra,Brazil,Latin America,7,Brazil
brb,Barbados,Latin America,9,Barbados
brn,Brunei Darussalam,Southeast Asia,29,Brunei Darussalam
btn,Bhutan,Southeast Asia,27,Bhutan
bwa,Botswana,Africa,4,Botswana
caf,Central African Republic,Africa,5,Central African Republic
can,Canada,Canada,8,Canada
cck,Cocos (Keeling) Islands,Southeast Asia,29,
che,Switzerland,Western Europe,16,Switzerland
chi,Channel Islands,Western Europe,13,
chl,Chile,Latin America,26,Chile
chn,China,China,11,China
civ,Cote dIvoire,Africa,5,Côte d'Ivoire
cmr,Cameroon,Africa,5,Cameroon
cod,"Congo, the Democratic Republic of the",Africa,5,Democratic Republic of the Congo
cog,Congo,Africa,5,Congo
cok,Cook Islands,Australia_NZ,29,
col,Colombia,Latin America,32,Colombia
com,Comoros,Africa,2,Comoros
cpv,Cape Verde,Africa,5,Cabo Verde
cri,Costa Rica,Latin America,9,Costa Rica
cub,Cuba,Latin America,9,Cuba
cuw,Curacao,Latin America,9,Curaçao
cym,Cayman Islands,Latin America,9,
cyp,Cyprus,Western Europe,12,Cyprus
cxr,Christmas Island,Southeast Asia,29,
cze,Czech Republic,Eastern Europe,12,Czechia
deu,Germany,Western Europe,13,Germany
dji,Djibouti,Africa,2,Djibouti
dma,Dominica,Latin America,9,
dnk,Denmark,Western Europe,13,Denmark
dom,Dominican Republic,Latin America,9,Dominican Republic
dza,Algeria,Africa,3,Algeria
ecu,Ecuador,Latin America,26,Ecuador
egy,Egypt,Africa,3,Egypt
eri,Eritrea,Africa,2,Eritrea
esh,Western Sahara,Africa,3,Western Sahara
esp,Spain,Western Europe,13,Spain
est,Estonia,Former Soviet Union,12,Estonia
eth,Ethiopia,Africa,2,Ethiopia
fin,Finland,Western Europe,13,Finland
fji,Fiji,Southeast Asia,29,Fiji
flk,Falkland Islands (Malvinas),Latin America,13,
fra,France,Western Europe,13,France
fro,Faroe Islands,Western Europe,13,
fsm,"Micronesia, Federated States of",Southeast Asia,29,Micronesia
gab,Gabon,Africa,5,Gabon
gbr,United Kingdom,Western Europe,13,United Kingdom
geo,Georgia,Former Soviet Union,10,Georgia
